GPA,Gender,breakfast,calories_chicken,calories_day,calories_scone,coffee,type_sports,v
,M,1,610,2,980,2,0,
,F,1,720,4,420,2,baseball,
,M,1,720,3,420,2,None at the moment,
0,M,1,610,4,420,2,0,
0,F,2,430,0,980,2,Hockey,
2,F,1,430,0,315,1,car racing,-1.8
2,M,1,610,3,980,2,None.,-1.875
2,F,1,430,2,420,2,basketball,-1.9
2,M,2,720,3,420,2,Ice hockey,-1.6
2,M,1,720,3,420,1,0,-1.6
2,M,1,720,4,980,2,0,-1.55
2,F,1,430,0,980,2,wrestling & rowing,-1.6
2,M,1,610,4,980,2,softball,-1.6
2,M,1,610,4,980,2,rowing,-1.7
2,F,2,265,2,420,1,0,-1.645
2,M,1,265,3,315,2,None right now,-1.7
2,F,1,265,2,980,2,0,-1.55
2,F,1,610,3,315,2,"Tennis, Basketball",-1.6
3,M,1,610,3,420,2,Basketball,-2.782
3,M,1,720,4,420,2,none,-2.9
3,M,1,430,3,420,2,0,-2.933333333
3,M,1,720,2,420,2,Softball,-2.833333333
3,F,1,610,3,420,2,soccer,-2.733333333
3,M,1,720,3,420,1,none,-2.9
3,M,1,430,0,420,1,none,-2.9
3,M,1,430,3,315,2,field hockey,-2.9
3,M,1,610,3,980,2,soccer,-2.833333333
3,M,1,720,4,420,2,Running,-2.698666667
3,F,1,430,3,420,2,Soccer and basketball,-2.866666667
3,M,1,610,3,420,2,intramural volleyball,-2.8
3,F,1,610,3,420,2,Hockey,-2.966666667
3,F,1,430,3,980,2,hockey,-2.8
3,M,1,720,3,980,1,dancing,-2.866666667
3,F,1,610,3,980,2,Soccer,-2.9
3,F,1,610,3,315,1,Tennis,-2.71
3,F,1,610,3,420,1,tennis soccer gym,-2.766666667
3,F,2,610,3,420,2,Gaelic Football,-2.766666667
3,M,1,720,2,420,2,none,-2.7
3,F,1,610,2,420,1,Hockey,-2.766666667
3,F,1,610,4,980,2,Lacrosse,-3
3,F,1,610,2,420,2,0,-2.933333333
3,F,1,265,2,420,2,0,-2.833333333
3,F,1,610,3,315,2,Soccer,-2.866666667
3,M,1,610,3,420,2,softball,-2.783333333
3,M,1,610,2,420,2,Lacrosse,-3
3,M,1,610,3,420,2,Softball,-2.766666667
3,M,1,720,4,420,2,Dancing,-2.866666667
3,M,1,610,3,980,2,Lacrosse,-2.703333333
3,F,1,720,0,980,2,Hockey,-3
3,F,1,430,3,315,1,wrestling,-2.866666667
3,M,1,610,3,420,2,0,-2.8
3,M,1,430,2,980,1,no particular engagement,-2.833333333
3,M,1,610,4,420,2,Volleyball,-2.933333333
3,M,1,610,3,315,2,none,-2.798333333
3,F,1,430,2,420,1,soccer,-2.733333333
3,F,2,430,0,315,1,Wrestling,-2.833333333
3,F,1,430,3,315,2,none,-2.723333333
3,F,1,720,3,420,2,0,-2.8
3,F,1,610,4,980,1,Hockey,-2.9
3,F,1,610,4,420,2,Lacrosse,-2.9
3,F,1,610,0,980,2,0,-2.902666667
3,F,1,610,3,420,2,hockey,-2.833333333
3,M,2,610,2,315,2,softball,-2.883333333
3,F,1,720,4,315,2,Hockey,-2.733333333
3,M,1,610,3,420,2,Skiing,-2.833333333
3,M,1,610,0,420,2,skiing,-2.766666667
3,M,1,610,4,420,2,Water polo and running,-2.8
3,F,1,610,4,980,2,Ice Hockey,-2.7
3,M,1,610,3,420,1,Volleyball,-2.833333333
3,M,1,610,0,315,2,None,-2.933333333
3,M,1,720,3,420,1,tennis,-3
3,M,1,610,2,420,1,"Recreational Basketball, Equestrian Team",-2.8
3,M,1,430,3,315,1,soccer,-2.933333333
3,M,2,720,4,420,2,None,-2.776666667
3,M,1,610,3,980,2,Rec Volleyball,-2.756666667
3,F,2,610,3,980,2,0,-2.966666667
3,M,1,610,3,420,2,I danced in high school,-3
3,M,2,610,3,420,1,horse back riding,-2.766666667
3,F,2,265,2,420,1,Basketball,-2.966666667
3,M,1,720,3,420,2,competitive skiing,-3
3,F,1,720,3,420,2,"Rowing, Running, and Cycling",-2.7
3,M,1,430,2,420,2,0,-2.866666667
3,M,2,610,3,420,1,softball and basketball,-2.833333333
3,M,1,265,0,315,2,wrestling,-2.766666667
3,M,1,430,3,420,2,Marching Band,-2.766666667
3,M,1,720,3,420,2,Collegiate Water Polo,-2.723333333
3,M,1,610,3,420,2,"volleyball, lacrosse",-3
3,F,1,720,3,420,1,field hockey,-2.933333333
3,F,2,720,4,980,2,0,-2.833333333
3,M,1,610,3,420,2,none,-2.933333333
3,F,1,720,4,420,2,Fotball,-2.773333333
3,M,2,610,2,420,2,crew,-2.733333333
3,F,2,720,0,420,2,"Football, Basketball, Volleyball, Golf",-2.9
3,F,1,720,0,420,2,0,-2.933333333
3,F,1,610,3,420,2,"hockey, soccer, golf",-2.75
3,F,1,265,0,420,2,Wrestling,-2.833333333
3,F,1,430,3,420,2,Soccer,-2.693333333
3,M,1,720,3,420,2,Running,-2.7
3,F,1,720,3,315,1,Tennis,-2.7
3,M,1,430,4,420,1,softball,-2.933333333
3,M,1,610,3,0,2,"Volleyball, Track",-2.833333333
3,M,1,610,0,420,2,0,-2.866666667
3,M,1,610,3,420,2,"When I can, rarely though play pool, darts, and basketball.",-2.766666667
3,M,1,720,3,420,2,volleyball,-3
3,M,1,430,3,315,2,None,-3
3,M,1,430,3,420,1,I used to play softball,-2.733333333
3,M,1,430,2,420,2,Ice hockey,-2.733333333
3,M,1,610,3,420,2,None,-2.866666667
3,M,1,610,3,315,1,Volleyball,-2.766666667
3,M,1,610,4,315,2,0,-2.7
3,M,1,430,2,420,1,None,-2.8
3,F,1,610,4,980,2,Hockey,-2.9
3,M,1,610,0,420,2,none,-2.866666667
3,M,1,610,0,315,2,"No, I don't play sport.",-2.743333333
3,M,1,430,3,420,1,None,-2.79
3,F,1,610,3,420,2,Soccer,-2.933333333
3,M,1,610,4,420,2,Softball,-2.833333333
3,M,1,265,2,315,2,basketball,-3
3,M,1,720,0,420,1,none,-2.706
